psr_type,business_type,timestamp_utc,generation_mw
B04,A01,2024-01-01 00:00:00+00:00,294.925
B04,A01,2024-01-01 01:00:00+00:00,202.2975
B04,A01,2024-01-01 02:00:00+00:00,281.8325
B04,A01,2024-01-01 03:00:00+00:00,191.745
B04,A01,2024-01-01 04:00:00+00:00,281.2475
B04,A01,2024-01-01 05:00:00+00:00,194.89
B04,A01,2024-01-01 06:00:00+00:00,224.8175
B04,A01,2024-01-01 07:00:00+00:00,368.3375
B04,A01,2024-01-01 08:00:00+00:00,252.69
B04,A01,2024-01-01 09:00:00+00:00,483.51
B04,A01,2024-01-01 10:00:00+00:00,223.815
B04,A01,2024-01-01 11:00:00+00:00,205.29
B04,A01,2024-01-01 12:00:00+00:00,221.85750000000002
B04,A01,2024-01-01 13:00:00+00:00,277.8
B04,A01,2024-01-01 14:00:00+00:00,203.27999999999997
B04,A01,2024-01-01 15:00:00+00:00,254.7425
B04,A01,2024-01-01 16:00:00+00:00,411.51250000000005
B04,A01,2024-01-01 17:00:00+00:00,294.355
B04,A01,2024-01-01 18:00:00+00:00,260.78499999999997
B04,A01,2024-01-01 19:00:00+00:00,182.34
B04,A01,2024-01-01 20:00:00+00:00,162.95
B04,A01,2024-01-01 21:00:00+00:00,156.97750000000002
B04,A01,2024-01-01 22:00:00+00:00,240.76749999999998
B04,A01,2024-01-01 23:00:00+00:00,161.165
B04,A01,2024-01-02 00:00:00+00:00,182.4425
B04,A01,2024-01-02 01:00:00+00:00,180.1825
B04,A01,2024-01-02 02:00:00+00:00,183.0925
B04,A01,2024-01-02 03:00:00+00:00,214.35750000000002
B04,A01,2024-01-02 04:00:00+00:00,248.4125
B04,A01,2024-01-02 05:00:00+00:00,512.315
B04,A01,2024-01-02 06:00:00+00:00,489.53
B04,A01,2024-01-02 07:00:00+00:00,395.245
B04,A01,2024-01-02 08:00:00+00:00,749.64
B04,A01,2024-01-02 09:00:00+00:00,1165.3200000000002
B04,A01,2024-01-02 10:00:00+00:00,543.145
B04,A01,2024-01-02 11:00:00+00:00,552.2
B04,A01,2024-01-02 12:00:00+00:00,759.1725
B04,A01,2024-01-02 13:00:00+00:00,546.665
B04,A01,2024-01-02 14:00:00+00:00,809.335
B04,A01,2024-01-02 15:00:00+00:00,546.0174999999999
B04,A01,2024-01-02 16:00:00+00:00,787.02
B04,A01,2024-01-02 17:00:00+00:00,851.32
B04,A01,2024-01-02 18:00:00+00:00,875.08
B04,A01,2024-01-02 19:00:00+00:00,861.3875
B04,A01,2024-01-02 20:00:00+00:00,631.12
B04,A01,2024-01-02 21:00:00+00:00,563.9625000000001
B04,A01,2024-01-02 22:00:00+00:00,455.14250000000004
B04,A01,2024-01-02 23:00:00+00:00,374.7175
B04,A01,2024-01-03 00:00:00+00:00,581.7925
B04,A01,2024-01-03 01:00:00+00:00,912.25
B04,A01,2024-01-03 02:00:00+00:00,441.515
B04,A01,2024-01-03 03:00:00+00:00,874.125
B04,A01,2024-01-03 04:00:00+00:00,395.1725
B04,A01,2024-01-03 05:00:00+00:00,617.9549999999999
B04,A01,2024-01-03 06:00:00+00:00,454.485
B04,A01,2024-01-03 07:00:00+00:00,625.5374999999999
B04,A01,2024-01-03 08:00:00+00:00,651.1800000000001
B04,A01,2024-01-03 09:00:00+00:00,670.9449999999999
B04,A01,2024-01-03 10:00:00+00:00,1011.2075
B04,A01,2024-01-03 11:00:00+00:00,1336.115
B04,A01,2024-01-03 12:00:00+00:00,964.51
B04,A01,2024-01-03 13:00:00+00:00,1296.775
B04,A01,2024-01-03 14:00:00+00:00,918.8924999999999
B04,A01,2024-01-03 15:00:00+00:00,545.0074999999999
B04,A01,2024-01-03 16:00:00+00:00,663.72
B04,A01,2024-01-03 17:00:00+00:00,640.6099999999999
B04,A01,2024-01-03 18:00:00+00:00,927.1675
B04,A01,2024-01-03 19:00:00+00:00,903.3325
B04,A01,2024-01-03 20:00:00+00:00,771.3225
B04,A01,2024-01-03 21:00:00+00:00,666.4575
B04,A01,2024-01-03 22:00:00+00:00,476.2275
B04,A01,2024-01-03 23:00:00+00:00,315.10749999999996
B04,A01,2024-01-04 00:00:00+00:00,324.66999999999996
B04,A01,2024-01-04 01:00:00+00:00,341.4125
B04,A01,2024-01-04 02:00:00+00:00,285.2875
B04,A01,2024-01-04 03:00:00+00:00,321.18500000000006
B04,A01,2024-01-04 04:00:00+00:00,362.9225
B04,A01,2024-01-04 05:00:00+00:00,456.0175
B04,A01,2024-01-04 06:00:00+00:00,682.0625
B04,A01,2024-01-04 07:00:00+00:00,748.2625
B04,A01,2024-01-04 08:00:00+00:00,819.7225
B04,A01,2024-01-04 09:00:00+00:00,844.495
B04,A01,2024-01-04 10:00:00+00:00,1298.99
B04,A01,2024-01-04 11:00:00+00:00,1275.82
B04,A01,2024-01-04 12:00:00+00:00,844.6199999999999
B04,A01,2024-01-04 13:00:00+00:00,844.5725
B04,A01,2024-01-04 14:00:00+00:00,1689.36
B04,A01,2024-01-04 15:00:00+00:00,1284.3500000000001
B04,A01,2024-01-04 16:00:00+00:00,1297.7849999999999
B04,A01,2024-01-04 17:00:00+00:00,1750.81
B04,A01,2024-01-04 18:00:00+00:00,882.575
B04,A01,2024-01-04 19:00:00+00:00,853.6975
B04,A01,2024-01-04 20:00:00+00:00,864.8
B04,A01,2024-01-04 21:00:00+00:00,872.02
B04,A01,2024-01-04 22:00:00+00:00,1251.1525000000001
B04,A01,2024-01-04 23:00:00+00:00,725.94
B04,A01,2024-01-05 00:00:00+00:00,1042.755
B04,A01,2024-01-05 01:00:00+00:00,802.555
B04,A01,2024-01-05 02:00:00+00:00,1536.49
B04,A01,2024-01-05 03:00:00+00:00,1395.2350000000001
B04,A01,2024-01-05 04:00:00+00:00,1416.03
B04,A01,2024-01-05 05:00:00+00:00,768.2425000000001
B04,A01,2024-01-05 06:00:00+00:00,638.89
B04,A01,2024-01-05 07:00:00+00:00,638.505
B04,A01,2024-01-05 08:00:00+00:00,797.565
B04,A01,2024-01-05 09:00:00+00:00,821.5
B04,A01,2024-01-05 10:00:00+00:00,853.675
B04,A01,2024-01-05 11:00:00+00:00,1310.2825
B04,A01,2024-01-05 12:00:00+00:00,1770.38
B04,A01,2024-01-05 13:00:00+00:00,1293.04
B04,A01,2024-01-05 14:00:00+00:00,1311.6475
B04,A01,2024-01-05 15:00:00+00:00,1700.22
B04,A01,2024-01-05 16:00:00+00:00,1719.35
B04,A01,2024-01-05 17:00:00+00:00,861.815
B04,A01,2024-01-05 18:00:00+00:00,1705.6100000000001
B04,A01,2024-01-05 19:00:00+00:00,1247.5625
B04,A01,2024-01-05 20:00:00+00:00,853.155
B04,A01,2024-01-05 21:00:00+00:00,844.995
B04,A01,2024-01-05 22:00:00+00:00,1639.7800000000002
B04,A01,2024-01-05 23:00:00+00:00,701.375
B04,A01,2024-01-06 00:00:00+00:00,1135.0275
B04,A01,2024-01-06 01:00:00+00:00,813.9200000000001
B04,A01,2024-01-06 02:00:00+00:00,714.7975
