nasa_hour_key,temp_2m_c,rel_humidity_2m_pct,wind_speed_10m_ms,wind_direction_10m_deg,surface_pressure_kpa,precipitation_mm_hr,allsky_surface_solar_downward_wm2,timestamp_utc
2024010100,6.11,93.27,10.61,274.0,98.85,1.04,0.0,2024-01-01 00:00:00+00:00
2024010101,5.93,93.68,9.97,268.2,98.94,1.16,0.0,2024-01-01 01:00:00+00:00
2024010102,5.83,93.72,9.68,263.4,99.03,1.11,0.0,2024-01-01 02:00:00+00:00
2024010103,5.65,93.57,9.32,258.8,99.08,0.76,0.0,2024-01-01 03:00:00+00:00
2024010104,5.43,93.11,9.08,256.8,99.13,0.37,0.0,2024-01-01 04:00:00+00:00
2024010105,5.18,92.47,8.67,257.1,99.18,0.12,0.0,2024-01-01 05:00:00+00:00
2024010106,4.78,93.45,7.55,253.5,99.21,0.04,0.0,2024-01-01 06:00:00+00:00
2024010107,4.38,94.6,6.63,245.3,99.22,0.03,0.0,2024-01-01 07:00:00+00:00
2024010108,4.19,95.12,6.14,236.5,99.25,0.08,0.0,2024-01-01 08:00:00+00:00
2024010109,4.39,94.55,5.3,224.7,99.25,0.17,26.05,2024-01-01 09:00:00+00:00
2024010110,5.16,92.98,4.7,206.0,99.21,0.94,70.82,2024-01-01 10:00:00+00:00
2024010111,5.82,92.19,4.76,184.8,99.15,3.42,97.03,2024-01-01 11:00:00+00:00
2024010112,6.23,92.15,5.48,165.2,99.01,9.4,104.32,2024-01-01 12:00:00+00:00
2024010113,6.49,93.76,6.55,149.3,98.82,15.81,32.7,2024-01-01 13:00:00+00:00
2024010114,6.85,95.07,7.87,140.0,98.6,21.33,32.17,2024-01-01 14:00:00+00:00
2024010115,7.53,94.88,9.21,137.3,98.34,22.24,13.2,2024-01-01 15:00:00+00:00
2024010116,8.43,94.94,9.48,134.8,98.07,36.43,0.0,2024-01-01 16:00:00+00:00
2024010117,9.14,95.11,9.4,139.1,97.83,55.31,0.0,2024-01-01 17:00:00+00:00
2024010118,9.42,94.72,8.56,154.4,97.62,46.22,0.0,2024-01-01 18:00:00+00:00
2024010119,9.57,94.57,7.65,185.4,97.52,19.71,0.0,2024-01-01 19:00:00+00:00
2024010120,9.77,94.18,8.31,221.9,97.49,3.5,0.0,2024-01-01 20:00:00+00:00
2024010121,9.84,93.53,9.95,238.6,97.53,0.91,0.0,2024-01-01 21:00:00+00:00
2024010122,9.74,91.38,10.79,246.4,97.59,0.18,0.0,2024-01-01 22:00:00+00:00
2024010123,9.49,91.4,10.59,248.7,97.64,0.04,0.0,2024-01-01 23:00:00+00:00
2024010200,9.27,92.52,10.32,248.2,97.67,0.05,0.0,2024-01-02 00:00:00+00:00
2024010201,9.05,93.79,9.44,244.1,97.69,0.08,0.0,2024-01-02 01:00:00+00:00
2024010202,8.95,94.17,8.57,235.8,97.7,0.09,0.0,2024-01-02 02:00:00+00:00
2024010203,8.59,95.23,7.7,225.5,97.69,0.08,0.0,2024-01-02 03:00:00+00:00
2024010204,8.51,95.73,7.63,216.3,97.68,0.08,0.0,2024-01-02 04:00:00+00:00
2024010205,8.75,95.65,7.31,208.0,97.62,0.29,0.0,2024-01-02 05:00:00+00:00
2024010206,8.64,95.59,6.54,200.7,97.54,2.41,0.0,2024-01-02 06:00:00+00:00
2024010207,8.71,95.36,6.32,193.7,97.48,4.77,0.0,2024-01-02 07:00:00+00:00
2024010208,8.75,95.16,5.91,187.8,97.41,11.53,0.0,2024-01-02 08:00:00+00:00
2024010209,8.78,94.5,5.23,186.1,97.35,13.72,8.25,2024-01-02 09:00:00+00:00
2024010210,8.78,93.22,4.14,188.9,97.3,17.59,36.38,2024-01-02 10:00:00+00:00
2024010211,8.8,92.36,3.27,201.9,97.25,20.8,57.05,2024-01-02 11:00:00+00:00
2024010212,8.84,92.35,3.61,229.6,97.21,23.76,69.35,2024-01-02 12:00:00+00:00
2024010213,8.89,92.57,4.98,242.0,97.2,23.67,24.75,2024-01-02 13:00:00+00:00
2024010214,8.93,93.0,6.4,242.4,97.2,18.95,17.8,2024-01-02 14:00:00+00:00
2024010215,8.83,93.92,7.27,242.7,97.22,9.43,16.27,2024-01-02 15:00:00+00:00
2024010216,8.65,94.45,7.99,246.8,97.28,3.89,0.0,2024-01-02 16:00:00+00:00
2024010217,8.5,94.38,8.93,253.6,97.38,1.44,0.0,2024-01-02 17:00:00+00:00
2024010218,8.29,94.39,8.81,256.7,97.45,0.56,0.0,2024-01-02 18:00:00+00:00
2024010219,8.11,94.6,8.06,252.8,97.5,0.28,0.0,2024-01-02 19:00:00+00:00
2024010220,7.84,95.22,7.21,244.8,97.54,0.35,0.0,2024-01-02 20:00:00+00:00
2024010221,7.63,95.43,6.75,237.2,97.57,0.34,0.0,2024-01-02 21:00:00+00:00
2024010222,7.39,96.28,6.32,232.3,97.6,0.33,0.0,2024-01-02 22:00:00+00:00
2024010223,7.27,96.63,5.84,228.6,97.61,0.29,0.0,2024-01-02 23:00:00+00:00
2024010300,7.27,96.64,5.28,224.5,97.63,0.29,0.0,2024-01-03 00:00:00+00:00
